name_TGSS,ra_TGSS,dec_TGSS,integrated_TGSS,peak_TGSS,major_ax_TGSS,minor_ax_TGSS,posangle_TGSS,score,best_match
TGSSADR J103539.3-153347,158.91406,-15.56328,0.1034,0.0924,32.3,26.1,-3.7,0.5178875705905883,NVSS J103539-153406
TGSSADR J102055.7-321112,155.23221,-32.186820000000004,2.5980000000000003,2.3853000000000004,42.2,26.6,1.6,0.5179217442065023,NVSS J102057-321102
TGSSADR J100652.3-312933,151.7182,-31.49255,1.9579,1.0487,102.9,29.2,-14.6,0.5191765513500944,NVSS J100652-312914
TGSSADR J104751.7-160636,161.96565,-16.11026,0.055200000000000006,0.0232,56.6,32.1,33.6,0.5192485348051351,NVSS J104750-160621
TGSSADR J103250.3-275447,158.20979,-27.91328,0.0733,0.0588,42.3,27.4,-3.9,0.5197788455318515,NVSS J103251-275500
TGSSADR J101756.5-263515,154.48543999999995,-26.587640000000004,0.1786,0.1685,37.3,25.6,4.5,0.521185694905704,NVSS J101756-263457
TGSSADR J103009.0-282327,157.53773,-28.39101,0.2924,0.2509,39.0,27.7,4.2,0.5239911079726879,NVSS J103010-282338
TGSSADR J104711.7-315639,161.79897,-31.9444,0.16790000000000002,0.132,45.6,27.7,-3.0,0.5279462576468575,NVSS J104712-315650
TGSSADR J100341.5-300215,150.92318999999995,-30.03767,0.3621,0.3399,39.0,26.2,2.0,0.5282083799767385,NVSS J100340-300230
TGSSADR J095924.9-200654,149.85376000000005,-20.11503,0.121,0.0583,53.2,31.7,34.2,0.5283814131887047,NVSS J095925-200640
TGSSADR J104722.8-235525,161.84526,-23.92386,0.1003,0.0765,41.0,28.0,-4.2,0.5295748881330747,NVSS J104722-235507
TGSSADR J105247.9-153219,163.2,-15.538670000000002,0.06720000000000001,0.0544,33.9,27.9,8.5,0.5299649099420082,NVSS J105249-153214
TGSSADR J103111.4-242456,157.79756,-24.41578,0.0839,0.077,36.9,25.9,2.9,0.5314042608800497,NVSS J103110-242441
TGSSADR J105915.2-242124,164.81348,-24.35686,0.0717,0.0578,38.6,27.4,-2.3,0.532259268524823,NVSS J105916-242123
TGSSADR J105754.3-153744,164.47626,-15.62889,0.1,0.0905,30.6,27.1,-0.6,0.5326597050748089,NVSS J105754-153725
TGSSADR J104207.3-233807,160.53056,-23.63534,0.6998,0.2429,79.9,32.4,85.3,0.5331089977997121,NVSS J104205-233806
TGSSADR J101513.6-313500,153.80682,-31.5835,0.0897,0.0857,41.0,25.4,1.5,0.5332100705024715,NVSS J101512-313500
TGSSADR J103758.4-294748,159.49348,-29.79681,0.0305,0.027000000000000003,42.0,25.7,10.6,0.5356929953514488,NVSS J103759-294732
TGSSADR J100832.3-242753,152.13495,-24.46477,0.0468,0.0379,38.6,28.0,-7.0,0.5378734781847379,NVSS J100832-242809
TGSSADR J101413.4-302613,153.55592,-30.43706,0.0898,0.0841,37.8,27.1,6.4,0.5380245444344965,NVSS J101414-302606
TGSSADR J095632.8-303304,149.13672,-30.55133,0.0563,0.0559,39.8,24.3,1.2,0.5382888952804843,NVSS J095632-303321
TGSSADR J105105.8-250715,162.7744,-25.12086,0.0549,0.039,37.9,32.5,15.0,0.542949504447421,NVSS J105107-250709
TGSSADR J104334.9-263711,160.89552,-26.61989,0.1818,0.0365,83.5,53.7,-21.6,0.5436812773392448,NVSS J104334-263653
TGSSADR J103823.5-232316,159.59814,-23.38799,0.0495,0.0401,37.2,28.3,9.3,0.5438571580731054,NVSS J103822-232308
TGSSADR J103041.0-174000,157.67085,-17.6667,0.5516,0.431,34.9,29.2,12.2,0.5455655167427171,NVSS J103041-173947
TGSSADR J102859.3-202732,157.24718,-20.45913,4.6762,2.0833000000000004,69.6,28.2,6.0,0.5459867529298064,NVSS J102859-202750
TGSSADR J103233.5-342557,158.13969,-34.43263,0.13440000000000002,0.1146,45.1,27.9,1.6,0.5474241262341762,NVSS J103234-342556
TGSSADR J100106.2-153939,150.27608,-15.66086,0.1172,0.055700000000000006,42.9,36.9,17.3,0.5483633337989033,NVSS J100106-153921
TGSSADR J095817.8-201848,149.57426,-20.31349,0.0994,0.0874,34.4,26.9,2.6,0.5495049437017737,NVSS J095816-201854
TGSSADR J104047.6-245045,160.19862,-24.84605,0.3695,0.2444,37.6,34.3,-17.9,0.5507249375098875,NVSS J104046-245043
TGSSADR J103011.4-282346,157.5477,-28.396320000000006,0.248,0.1956,40.9,28.8,-1.3,0.5512491026121626,NVSS J103010-282338
